merchant_id,segment,cities,name,tier,score,top_rank,channel,phone_masked,contact_note,instagram_handle,website_domain,bnpl_status_final,reviews_count,rating,n_locations,owner_name_verified,hook_from_page,flags,score_exclusion
m_311749696f,A_aesthetic_clinics,jeddah,Veneer dental clinic,B,76,,mobile_or_whatsapp,+9661•••••393,number on the merchant website (not stored),veneer.dc,veneer.sa,generic_installment,657,4.7,1,False,True,medical: Risk review,
m_318b08ba2c,B_custom_furniture,jeddah,Arabian Gulf Curtains ستائر الخليج العربي,A,85,,mobile_or_whatsapp,+9665•••••558,mobile in Google Maps,jed_786,,unchecked,48,4.6,1,False,False,B Jeddah: source relevance 0.40; BNPL unchecked,
m_324305ffad,B_custom_furniture,jeddah,شركة استبرق العربية للتجارة,A,85,,mobile_or_whatsapp,+9665•••••220,mobile in Google Maps,estabrak00,,unchecked,68,4.6,1,False,False,B Jeddah: source relevance 0.40; BNPL unchecked,
m_32e0058e47,C_salla_zid_d2c,,متجر عبايات سعودية أنيقة بأقمشة فاخرة و تصاميم راقية l نسق,,,,none,,,,,unchecked,0,,0,False,False,,segment rejected: bnpl_saturation
m_32e57d26c1,A_aesthetic_clinics,riyadh,Drs Lounge clinic Yasmin | دكتورز لاونج كلينك الياسمين,A,87,,instagram,+9661•••••260,Instagram,drsloungeclinic,drsloungeclinic.sa,not_detected,3852,4,2,False,True,medical: Risk review,
m_333c7bb3bb,B_custom_furniture,riyadh,لتفصيل ستائر و كنبات,B,79,,mobile_or_whatsapp,+9665•••••370,mobile in Google Maps,,,unchecked,9,5,1,False,False,BNPL unchecked,
m_33572e857e,B_custom_furniture,jeddah,مفروشات الزين لكنب وستائر الحمدانية,B,82,,mobile_or_whatsapp,+9665•••••454,mobile in Google Maps,,,unchecked,29,4.3,1,False,False,B Jeddah: source relevance 0.40; BNPL unchecked,
m_3362bf2c7e,A_aesthetic_clinics,jeddah,عيادات أسنان بطل,,,,mobile_or_whatsapp,+9665•••••245,mobile in Google Maps,drbataldental,bataldental.com,tabby,697,4.9,1,False,False,,already Tabby merchant
m_33869ba575,A_aesthetic_clinics,riyadh,عيادة زويا للجلديه و التجميل والليزر,B,79,,mobile_or_whatsapp,+9665•••••042,mobile in Google Maps,zoyaclinicksa,zoyaclinic.sa,unchecked,446,4.3,1,False,False,medical: Risk review; BNPL unchecked,
m_33a394e7c1,B_custom_furniture,jeddah,Simple city,,,,none,,,,,unchecked,1263,4.1,1,False,False,,B: no segment signal in name or category
m_33d1147396,B_custom_furniture,riyadh,تصميم مجالس و تفصيل ستاره,B,82,,mobile_or_whatsapp,+9665•••••452,mobile in Google Maps,,,unchecked,23,4.5,1,False,False,BNPL unchecked,
m_34052afc0e,A_aesthetic_clinics,jeddah,عيادات بسمتي,A,84,,instagram,+9661•••••778,Instagram,basmaticlinics,basmaticlinics.com,not_detected,1060,5,1,False,True,medical: Risk review,
m_344a4c0747,B_custom_furniture,riyadh,ستائر الرياض,A,86,,mobile_or_whatsapp,+9665•••••565,mobile in Google Maps,,babo122456txvop.com,not_detected,6,5,1,False,True,,
m_34757c30e4,A_aesthetic_clinics,jeddah,Eed Clinic Radiology and Laboratories Center | مركز أشعة و مختبرات عيد كلينك,,,,none,,,,,unchecked,317,3.6,1,False,False,,A: no segment signal in name or category
m_349f3836ff,B_custom_furniture,riyadh,تفصيل كنب وتنجد وتفصيل ستائر,B,79,,mobile_or_whatsapp,+9665•••••918,mobile in Google Maps,,alslttanyeat-llmfrwshat.com,unchecked,10,4.6,1,False,False,BNPL unchecked,
m_34a62e03ff,B_custom_furniture,jeddah,ديكورات عاصم,,,,mobile_or_whatsapp,+9665•••••592,mobile in Google Maps,,,unchecked,2,4,1,False,False,,B: no segment signal in name or category
m_34b655bbe7,B_custom_furniture,jeddah,بيت الاناقه للاثاث,,,,mobile_or_whatsapp,+9665•••••369,mobile in Google Maps,,,unchecked,33,4.6,1,False,False,,B: no segment signal in name or category
m_34ccb1fecd,B_custom_furniture,riyadh,محل تفصيل ستائر مجالس,A,86,,mobile_or_whatsapp,+9665•••••627,mobile in Google Maps,,curtainxmajlis.com,not_detected,5,5,1,False,True,,
m_354649d9f2,B_custom_furniture,jeddah,Al Rugaib Furniture,,,,none,,,,alrugaibfurniture.com,unchecked,3544,4,1,False,False,,B: no segment signal in name or category
m_35686405e5,B_custom_furniture,riyadh,تنجيد كنب تفصيل مجالس وستائر,B,79,,mobile_or_whatsapp,+9665•••••351,mobile in Google Maps,,,unchecked,8,4.5,1,False,False,BNPL unchecked,
m_35c12a0e5a,B_custom_furniture,jeddah,مركز عالم الديكور,B,82,,mobile_or_whatsapp,+9665•••••528,mobile in Google Maps,,,unchecked,20,4.7,1,False,False,B Jeddah: source relevance 0.40; BNPL unchecked,
m_35de6f6851,B_custom_furniture,jeddah,Al-Khayal Home,,,,mobile_or_whatsapp,+9665•••••654,mobile in Google Maps,,,unchecked,43,2.7,1,False,False,,B: no segment signal in name or category
m_3647010112,B_custom_furniture,jeddah,مركز ستائر سمر,C,61,,none,,,,,unchecked,3,4.7,1,False,False,B Jeddah: source relevance 0.40; BNPL unchecked,
m_3673a13e08,A_aesthetic_clinics,jeddah,مجمع اولاس الطبي | Olas Medical Center,,,,instagram,,Instagram,deemmedical,olas.sa,unchecked,3811,3.9,1,False,False,,A: no segment signal in name or category
m_369156738e,A_aesthetic_clinics,riyadh,عيادات وجن للجلدية والتجميل والليزر - فرع النفل,B,82,,mobile_or_whatsapp,+9665•••••444,mobile in Google Maps,,wajanclinic2.com,unchecked,622,4.5,1,False,False,medical: Risk review; BNPL unchecked,
m_3769777070,A_aesthetic_clinics,riyadh,Ayla Medical Center - مركز ايلا الطبي,B,72,,other_phone,+9661•••••060,landline in Google Maps,,ayladerma.com,unchecked,924,4.7,1,False,False,medical: Risk review; BNPL unchecked,
m_37a567002c,B_custom_furniture,jeddah,ستائر بابكر,A,85,,mobile_or_whatsapp,+9665•••••070,mobile in Google Maps,,,unchecked,42,4.9,1,False,False,B Jeddah: source relevance 0.40; BNPL unchecked,
m_3897fe868b,B_custom_furniture,riyadh,Janadriah Furniture Heritage,,,,mobile_or_whatsapp,+9665•••••226,mobile in Google Maps,,,unchecked,257,4.2,1,False,False,,B: no segment signal in name or category
m_38de256f81,B_custom_furniture,riyadh,تفصيل ستاير و مجالس,B,76,,mobile_or_whatsapp,+9665•••••137,mobile in Google Maps,,,unchecked,1,5,1,False,False,BNPL unchecked,
m_39f690fe1b,A_aesthetic_clinics,riyadh,Reflect Clinic,,,,instagram,+9661•••••555,Instagram,reflect_clinic,,unchecked,1981,4.1,1,False,False,,A: no segment signal in name or category
m_3a3a504b5a,B_custom_furniture,jeddah,البيت الراقي للستائر والديكور,A,85,,mobile_or_whatsapp,+9665•••••271,mobile in Google Maps,,maps.app.goo.gl,unchecked,61,4.9,1,False,False,B Jeddah: source relevance 0.40; BNPL unchecked,
m_3a458b3d15,B_custom_furniture,jeddah,ستائر المدينة,B,73,,mobile_or_whatsapp,+9665•••••046,mobile in Google Maps,,,unchecked,9,3.9,1,False,False,B Jeddah: source relevance 0.40; BNPL unchecked,
m_3ae995939d,B_custom_furniture,jeddah,الراقي للسجاد,B,70,,mobile_or_whatsapp,+9665•••••373,mobile in Google Maps,,,unchecked,3,3.7,1,False,False,B Jeddah: source relevance 0.40; BNPL unchecked,
m_3b0866fd2c,B_custom_furniture,riyadh,مجالس عربية وستائر,B,73,,mobile_or_whatsapp,+9665•••••832,mobile in Google Maps,,,unchecked,4,4,1,False,False,BNPL unchecked,
m_3cdb98957e,A_aesthetic_clinics,jeddah,مجمع صحتي المتميز الطبي,,,,none,,,,,unchecked,2729,4,1,False,False,,A: no segment signal in name or category; A: hospital or enterprise group
m_3d03075dd6,B_custom_furniture,jeddah,معرض التاج بيتي للستائر,B,79,,mobile_or_whatsapp,+9665•••••688,mobile in Google Maps,,,unchecked,8,5,1,False,False,B Jeddah: source relevance 0.40; BNPL unchecked,
m_3d3b1c54ca,A_aesthetic_clinics,jeddah,Beauty and Care Clinics - بيوتي اند كير,C,64,,none,,,,,unchecked,393,4.3,1,False,False,medical: Risk review; BNPL unchecked,
m_3d583903e5,B_custom_furniture,jeddah,النبراس للديكور,B,79,,mobile_or_whatsapp,+9665•••••309,mobile in Google Maps,,,unchecked,10,5,1,False,False,B Jeddah: source relevance 0.40; BNPL unchecked,
m_3d7546d0ad,B_custom_furniture,jeddah,باش هوم,,,,mobile_or_whatsapp,+9665•••••010,mobile in Google Maps,alroqif_,,unchecked,371,4.9,1,False,False,,B: no segment signal in name or category
m_3d8d353fb9,A_aesthetic_clinics,jeddah,Aeluna Beauty Clinic,B,79,,mobile_or_whatsapp,+9665•••••119,mobile in Google Maps,aelunabeautyclinic,,unchecked,297,4.9,1,False,False,medical: Risk review; BNPL unchecked,
m_3e03fb6c88,C_salla_zid_d2c,,متجر النايف للعطور والعود,,,,none,,,,,unchecked,0,,0,False,False,,segment rejected: bnpl_saturation
m_3f51250caa,A_aesthetic_clinics,riyadh,Noble Smile Dental Clinic,B,79,,mobile_or_whatsapp,+9665•••••425,mobile in Google Maps,,,unchecked,195,4.6,1,False,False,medical: Risk review; BNPL unchecked,
m_3f585d5491,B_custom_furniture,jeddah,مفروشات الاحلام ستاير,B,82,,mobile_or_whatsapp,+9665•••••726,mobile in Google Maps,,,unchecked,24,4.9,1,False,False,B Jeddah: source relevance 0.40; BNPL unchecked,
m_3f998a19d0,A_aesthetic_clinics,riyadh,عيادات اديل الملقا,B,79,,mobile_or_whatsapp,+9665•••••949,mobile in Google Maps,,,unchecked,329,4.6,1,False,False,medical: Risk review; BNPL unchecked,
m_3fa8afc4ba,B_custom_furniture,riyadh,تفصيل ستائر ومجالس,A,89,,mobile_or_whatsapp,+9665•••••760,mobile in Google Maps,,curtainalriyadh.com,not_detected,14,5,1,False,True,reserve: tied at the Top-list cutoff score,
m_40111323dc,C_salla_zid_d2c,,عطور انفنتي سنت,,,,mobile_or_whatsapp,,number on the merchant website (not stored),,,tabby,0,,0,False,False,,segment rejected: bnpl_saturation
m_402368eda7,B_custom_furniture,jeddah,Furniture Midas touch,,,,mobile_or_whatsapp,+9665•••••633,mobile in Google Maps,,,unchecked,110,4.6,1,False,False,,B: no segment signal in name or category
m_4035471b84,B_custom_furniture,riyadh,ستائر والمجالس کنب مفروشات افکار القریه,A,85,,mobile_or_whatsapp,+9665•••••627,mobile in Google Maps,,,unchecked,59,4.8,1,False,False,BNPL unchecked,
m_4073e4c133,C_salla_zid_d2c,,عطور فرنسية,,,,mobile_or_whatsapp,,number on the merchant website (not stored),,,not_detected,0,,0,False,False,,segment rejected: bnpl_saturation
m_40812a3240,B_custom_furniture,jeddah,معلم لتفصيل الستائر والكنب,B,76,,mobile_or_whatsapp,+9665•••••740,mobile in Google Maps,,,unchecked,2,5,1,False,False,B Jeddah: source relevance 0.40; BNPL unchecked,
m_40a11831c1,B_custom_furniture,riyadh,تفصيل ستائر ويفي و تنجيد كنب,B,70,,mobile_or_whatsapp,+9665•••••431,mobile in Google Maps,,,unchecked,0,,1,False,False,BNPL unchecked,
m_40eecf3b84,B_custom_furniture,riyadh,تفصيل كنب ستائر و مجالس,B,73,,mobile_or_whatsapp,+9665•••••737,mobile in Google Maps,,curtainsmaker.localo.site,unchecked,10,3.4,1,False,False,BNPL unchecked,
m_4128020e43,B_custom_furniture,jeddah,تنجيد كنب بجدة,A,89,,mobile_or_whatsapp,+9665•••••315,mobile in Google Maps,,6764a0d3da747.site123.me,not_detected,31,4.6,1,False,True,B Jeddah: source relevance 0.40; reserve: tied at the Top-list cutoff score,
m_41a131e591,A_aesthetic_clinics,riyadh,Dermadent Clinic,B,77,,none,,,,dermadent.sa,not_detected,2369,4.3,1,False,True,medical: Risk review,
m_41e971d439,C_salla_zid_d2c,,تميم للعطور,,,,mobile_or_whatsapp,,number on the merchant website (not stored),,,competitor_only,0,,0,False,False,,segment rejected: bnpl_saturation
m_424b046845,B_custom_furniture,jeddah,دوزن ديزاين DOZN DESIGN,,,,mobile_or_whatsapp,+9665•••••982,mobile in Google Maps,,dozndesign.com,unchecked,34,4.9,1,False,False,,B: no segment signal in name or category
m_42d9533883,A_aesthetic_clinics,jeddah,مجمع بسمة الأبداع لطب الاسنان,B,82,,mobile_or_whatsapp,+9665•••••448,mobile in Google Maps,,,unchecked,742,4.5,1,False,False,medical: Risk review; BNPL unchecked,
m_434f8bcdfd,C_salla_zid_d2c,,DIVA ABAYA,,,,mobile_or_whatsapp,,number on the merchant website (not stored),,,not_detected,0,,0,False,False,,segment rejected: bnpl_saturation
m_438bc4fdc3,B_custom_furniture,riyadh,تفصيل ستائر كنب مجلس,A,85,,mobile_or_whatsapp,+9665•••••720,mobile in Google Maps,,,unchecked,48,4.8,1,False,False,BNPL unchecked,
m_43f900defa,A_aesthetic_clinics,riyadh,عيادات مارلي | Marley Clinic,,,,mobile_or_whatsapp,+9665•••••050,mobile in Google Maps,,,unchecked,95,4.4,1,False,False,,A: no segment signal in name or category
m_446d66eef1,B_custom_furniture,riyadh,تفصيل ستائر مجالس,B,79,,mobile_or_whatsapp,+9665•••••104,mobile in Google Maps,,,unchecked,8,4.4,1,False,False,BNPL unchecked,
m_44b4f8290f,B_custom_furniture,jeddah,Souq 7,,,,mobile_or_whatsapp,+9665•••••685,mobile in Google Maps,,,unchecked,904,4.3,1,False,False,,B: no segment signal in name or category
m_453444fad6,B_custom_furniture,jeddah,ستاير دانتيل,B,76,,mobile_or_whatsapp,+9665•••••913,mobile in Google Maps,,,unchecked,20,3.5,1,False,False,B Jeddah: source relevance 0.40; BNPL unchecked,
m_454d63a0d0,B_custom_furniture,riyadh,محل تفصيل ستائر و مجالس عربية,B,82,,mobile_or_whatsapp,+9665•••••693,mobile in Google Maps,,riyadhcurtainsa.com,unchecked,38,4.8,1,False,False,BNPL unchecked,
m_45a302111f,B_custom_furniture,jeddah,The Factory Furniture - معرض ذي فاكتوري للاثاث جده,,,,none,,,,thefactoryfurniture.com,unchecked,963,4.5,1,False,False,,B: no segment signal in name or category
m_460fb78a52,B_custom_furniture,riyadh,تفصيل كنب,A,85,,mobile_or_whatsapp,+9665•••••817,mobile in Google Maps,,curtainsofa.com,unchecked,44,4.6,1,False,False,BNPL unchecked,
m_46ee4b4885,B_custom_furniture,jeddah,مفروشات البيت الخليجي,,,,mobile_or_whatsapp,+9665•••••436,mobile in Google Maps,,,unchecked,11,4.2,1,False,False,,B: no segment signal in name or category
m_47286f570b,A_aesthetic_clinics,jeddah,عيادات دي براكسس | Dpraxis Clinics,B,79,,mobile_or_whatsapp,+9665•••••657,mobile in Google Maps,dpraxisclinics.sa,,unchecked,289,4.7,1,False,False,medical: Risk review; BNPL unchecked,
